Codigo,DESCRICAO,Classificação,Caso
A000,"Cólera devida a Vibrio cholerae 01, biótipo cholerae",Outros,0
A001,"Cólera devida a Vibrio cholerae 01, biótipo El Tor",Outros,0
A009,Cólera não especificada,Outros,0
A010,Febre tifóide,Outros,0
A011,Febre paratifóide A,Outros,0
A012,Febre paratifóide B,Outros,0
A013,Febre paratifóide C,Outros,0
A014,Febre paratifóide não especificada,Outros,0
A020,Enterite por salmonela,Outros,0
A021,Septicemia por salmonela,Outros,0
A022,Infecções localizadas por salmonela,Outros,0
A028,Outras infecções especificadas por salmonela,Outros,0
A029,Infecção não especificada por salmonela,Outros,0
A030,Shiguelose devida a Shigella dysenteriae,Outros,0
A031,Shiguelose devida a Shigella flexneri,Outros,0
A032,Shiguelose devida a Shigella boydii,Outros,0
A033,Shiguelose devida a Shigella sonnei,Outros,0
A038,Outras shigueloses,Outros,0
A039,Shiguelose não especificada,Outros,0
A040,Infecção por Escherichia coli enteropatogênica,Outros,0
A041,Infecção por Escherichia coli enterotoxigênica,Outros,0
A042,Infecção por Escherichia coli enteroinvasiva,Outros,0
A043,Infecção por Escherichia coli enterohemorrágica,Outros,0
A044,Outras infecções intestinais por Escherichia coli,Outros,0
A045,Enterite por Campylobacter,Outros,0
A046,Enterite devida a Yersinia enterocolítica,Outros,0
A047,Enterocolite devida a Clostridium difficile,Outros,0
A048,Outras infecções bacterianas intestinais especificadas,Outros,0
A049,Infecção intestinal bacteriana não especificada,Outros,0
A050,Intoxicação alimentar estafilocócica,Outros,0
A051,Botulismo,Outros,0
A052,Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii],Outros,0
A053,Intoxicação alimentar devida a Vibrio parahemolyticus,Outros,0
A054,Intoxicação alimentar devida a Bacillus cereus,Outros,0
A058,Outras intoxicações alimentares bacterianas especificadas,Outros,0
A059,Intoxicação alimentar bacteriana não especificada,Outros,0
A060,Disenteria amebiana aguda,Outros,0
A061,Amebíase intestinal crônica,Outros,0
A062,Colite amebiana não-disentérica,Outros,0
A063,Ameboma intestinal,Outros,0
A064,Abscesso amebiano do fígado,Outros,0
A065,Abscesso amebiano do pulmão,Outros,0
A066,Abscesso amebiano do cérebro,Outros,0
A067,Amebíase cutânea,Outros,0
A068,Infecção amebiana de outras localizações,Outros,0
A069,Amebíase não especificada,Outros,0
A070,Balantidíase,Outros,0
A071,Giardíase [lamblíase],Outros,0
A072,Criptosporidiose,Outros,0
A073,Isosporíase,Outros,0
A078,Outras doenças intestinais especificadas por protozoários,Outros,0
A079,Doença intestinal não especificada por protozoários,Outros,0
A080,Enterite por rotavírus,Outros,0
A081,Gastroenteropatia aguda pelo agente de Norwalk,Outros,0
A082,Enterite por adenovírus,Outros,0
A083,Outras enterites virais,Outros,0
A084,Infecção intestinal devida a vírus não especificado,Outros,0
A085,Outras infecções intestinais especificadas,Outros,0
A09,Diarréia e gastroenterite de origem infecciosa presumível,Outros,0
A150,"Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura",Outros,0
A151,"Tuberculose pulmonar, com confirmação somente por cultura",Outros,0
A152,"Tuberculose pulmonar, com confirmação histológica",Outros,0
A153,"Tuberculose pulmonar, com confirmação por meio não especificado",Outros,0
A154,"Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica",Outros,0
A155,"Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica",Outros,0
A156,"Pleuris tuberculoso, com confirmação bacteriológica e histológica",Outros,0
A157,"Tuberculose primária das vias respiratórias, com confirmação bacteriológica e histológica",Outros,0
A158,"Outras formas de tuberculose das vias respiratórias, com confirmação bacteriológica e histológica",Outros,0
A159,"Tuberculose não especificada das vias respiratórias, com confirmação bacteriológica e histológica",Outros,0
A160,Tuberculose pulmonar com exames bacteriológico e histológico negativos,Outros,0
A161,"Tuberculose pulmonar, sem realização de exame bacteriológico ou histológico",Outros,0
A162,"Tuberculose pulmonar, sem menção de confirmação bacteriológica ou histológica",Outros,0
A163,"Tuberculose dos gânglios intratorácicos, sem menção de confirmação bacteriológica ou histológica",Outros,0
A164,"Tuberculose da laringe, da traquéia e dos brônquios, sem menção de confirmação bacteriológica ou histológica",Outros,0
A165,"Pleurisia tuberculosa, sem menção de confirmação bacteriológica ou histológica",Outros,0
A167,Tuberculosa respiratória primária sem menção de confirmação bacteriológica ou histológica,Outros,0
A168,"Outras formas de tuberculose das vias respiratórias, sem menção de confirmação bacteriológica ou histológica",Outros,0
A169,"Tuberculose respiratória, não especificada, sem menção de confirmação bacteriológica ou histológica",Outros,0
A170,Meningite tuberculosa,Outros,0
A171,Tuberculoma meníngeo,Outros,0
A178,Outras tuberculoses do sistema nervoso,Outros,0
A179,Tuberculose não especificada do sistema nervoso,Outros,0
A180,Tuberculose óssea e das articulações,Outros,0
A181,Tuberculose do aparelho geniturinário,Outros,0
A182,Linfadenopatia tuberculosa periférica,Outros,0
A183,"Tuberculose do intestino, do peritônio e dos gânglios mesentéricos",Outros,0
A184,Tuberculose de pele e do tecido celular subcutâneo,Outros,0
A185,Tuberculose do olho,Outros,0
A186,Tuberculose do ouvido,Outros,0
A187,Tuberculose das supra-renais,Outros,0
A188,Tuberculose de outros órgãos especificados,Outros,0
A190,Tuberculose miliar aguda de localização única e especificada,Outros,0
A191,Tuberculose miliar aguda de múltiplas localizações,Outros,0
A192,Tuberculose miliar aguda não especificada,Outros,0
A198,Outras tuberculoses miliares,Outros,0
A199,Tuberculose miliar não especificada,Outros,0
A200,Peste bubônica,Outros,0
A201,Peste celulocutânea,Outros,0
A202,Peste pneumônica,Outros,0
A203,Peste meníngea,Outros,0
A207,Peste septicêmica,Outros,0
A208,Outras formas de peste,Outros,0
A209,"Peste, forma não especificada",Outros,0
A210,Tularemia ulceroglandular,Outros,0
A211,Tularemia oculoglandular,Outros,0
A212,Tularemia pulmonar,Outros,0
A213,Tularemia gastrointestinal,Outros,0
A217,Tularemia generalizada,Outros,0
A218,Outras formas de tularemia,Outros,0
A219,"Tularemia, forma não especificada",Outros,0
A220,Carbúnculo cutâneo,Outros,0
A221,Carbúnculo pulmonar,Outros,0
A222,Carbúnculo gastrointestinal,Outros,0
A227,Septicemia carbunculosa,Outros,0
A228,Outras formas de carbúnculo,Outros,0
A229,"Carbúnculo, forma não especificada",Outros,0
A230,Brucelose por Brucella melitensis,Outros,0
A231,Brucelose por Brucella abortus,Outros,0
A232,Brucelose por Brucella suis,Outros,0
A233,Brucelose por Brucella canis,Outros,0
A238,Outras bruceloses,Outros,0
A239,Brucelose não especificada,Outros,0
A240,Mormo,Outros,0
A241,Melioidose aguda e fulminante,Outros,0
A242,Melioidose subaguda e crônica,Outros,0
A243,Outras melioidoses,Outros,0
A244,Melioidose não especificada,Outros,0
A250,Espirilose,Outros,0
A251,Estreptobacilose,Outros,0
A259,"Febre transmitida por mordedura de rato, tipo não especificado",Outros,0
A260,Erisipelóide cutâneo,Outros,0
A267,Septicemia por Erysipelothrix,Outros,0
A268,Outras formas de erisipelóide,Outros,0
A269,Erisipelóide não especificado,Outros,0
A270,Leptopirose icterohemorrágica,Outros,0
A278,Outras formas de leptospirose,Outros,0
A279,Leptospirose não especificada,Outros,0
A280,Pasteurelose,Outros,0
A281,Doença por arranhadura do gato,Outros,0
A282,Yersiniose extra-intestinal,Outros,0
A288,Outras doenças bacterianas zoonóticas especificadas não classificadas em outra parte,Outros,0
A289,Doença bacteriana zoonótica não especificada,Outros,0
A300,Hanseníase [lepra] indeterminada,Outros,0
A301,Hanseníase [lepra] tuberculóide,Outros,0
A302,Hanseníase [lepra] tuberculóide borderline,Outros,0
A303,Hanseníase [lepra] dimorfa,Outros,0
A304,Hanseníase [lepra] lepromatosa borderline,Outros,0
A305,Hanseníase [lepra] lepromatosa,Outros,0
A308,Outras formas de hanseníase [lepra],Outros,0
A309,Hanseníase [lepra] não especificada,Outros,0
A310,Infecção pulmonar micobacteriana,Outros,0
A311,Infecção cutânea micobacteriana,Outros,0
A318,Outras infecções micobacterianas,Outros,0
A319,Infecção micobacteriana não especificada,Outros,0
A320,Listeriose cutânea,Outros,0
A321,Meningite e meningoencefalite por listéria,Outros,0
A327,Septicemia listeriótica,Outros,0
A328,Outras formas de listeriose,Outros,0
A329,Listeriose não especificada,Outros,0
A33,Tétano do recém-nascido [neonatal],Outros,0
A34,Tétano obstétrico,Outros,0
A35,Outros tipos de tétano,Outros,0
A360,Difteria faríngea,Outros,0
A361,Difteria nasofaríngea,Outros,0
A362,Difteria laríngea,Outros,0
A363,Difteria cutânea,Outros,0
A368,Outras formas de difteria,Outros,0
A369,Difteria não especificada,Outros,0
A370,Coqueluche por Bordetella pertussis,Outros,0
A371,Coqueluche por Bordetella parapertussis,Outros,0
A378,Coqueluche por outras espécies da Bordetella,Outros,0
A379,Coqueluche não especificada,Outros,0
A38,Escarlatina,Outros,0
A390,Meningite meningocócica,Outros,0
A391,Síndrome de Waterhouse-Friderichsen,Outros,0
A392,Meningococcemia aguda,Outros,0
A393,Meningococcemia crônica,Outros,0
A394,Meningococcemia não especificada,Outros,0
A395,Cardite por meningococos,Outros,0
A398,Outras infecções por meningococos,Outros,0
A399,Infecção meningocócica não especificada,Outros,0
A400,Septicemia por Streptococcus do grupo A,Outros,0
A401,Septicemia por Streptococcus do grupo B,Outros,0
A402,Septicemia por Streptococcus do grupo D,Outros,0
A403,Septicemia por Streptococcus pneumonia,Outros,0
A408,Outras septicemias estreptocócicas,Outros,0
A409,Septicemia estreptocócica não especificada,Outros,0
A410,Septicemia por Staphylococcus aureus,Outros,0
A411,Septicemia por outros estafilococos especificados,Outros,0
A412,Septicemia por estafilococos não especificados,Outros,0
A413,Septicemia por Haemophilus influenzae,Outros,0
A414,Septicemia por anaeróbios,Outros,0
A415,Septicemia por outros microorganismos gram-negativos,Outros,0
A418,Outras septicemias especificadas,Outros,0
A419,Septicemia não especificada,Outros,0
A420,Actinomicose pulmonar,Outros,0
A421,Actinomicose abdominal,Outros,0
A422,Actinomicose cervicofacial,Outros,0
A427,Septicemia actinomicótica,Outros,0
A428,Outras formas de actinomicose,Outros,0
A429,Actinomicose não especificada,Outros,0
A430,Nocardiose pulmonar,Outros,0
A431,Nocardiose cutânea,Outros,0
A438,Outras formas de nocardiose,Outros,0
A439,Nocardiose não especificada,Outros,0
A440,Bartonelose sistêmica,Outros,0
A441,Bartonelose cutânea e cutâneo-mucosa,Outros,0
A448,Outras formas de bartonelose,Outros,0
A449,Bartonelose não especificada,Outros,0
A46,Erisipela,Outros,0
A480,Gangrena gasosa,Outros,0
A481,Doença dos legionários,Outros,0
A482,Doença dos legionários não-pneumônica [febre de Pontiac],Outros,0
A483,Síndrome do choque tóxico,Outros,0
A484,Febre purpúrica do Brasil,Outros,0
A488,Outras doenças bacterianas especificadas,Outros,0
A490,Infecção estafilocócica não especificada,Outros,0
A491,Infecção estreptocócica não especificada,Outros,0
A492,Infecção por Haemophilus influenzae não especificada,Outros,0
A493,Infecção por Mycoplasma não especificada,Outros,0
A498,Outras infecções bacterianas de localização não especificada,Outros,0
A499,Infecção bacteriana não especificada,Outros,0
A500,Sífilis congênita precoce sintomática,Outros,0
A501,"Sífilis congênita precoce, forma latente",Outros,0
A502,Sífilis congênita precoce não especificada,Outros,0
A503,Oculopatia sifilítica congênita tardia,Outros,0
A504,Neurossífilis congênita tardia [neurossífilis juvenil],Outros,0
